Comment,Designator,Footprint,LCSC, LCSC, MPN, Manufacturer, DNP
"10u","C2","Capacitor_SMD:C_0805_2012Metric","","C15850","CL21A106KAYNNNE","Samsung Electro-Mechanics",""
"20p","C3,C6","Capacitor_SMD:C_0402_1005Metric","","C1554","0402CG200J500NT","Guangdong Fenghua Advanced Tech",""
"100n","C4,C8,C9,C10,C13,C11,C14,C16,C18,C17,C19,C12,C15","Capacitor_SMD:C_0402_1005Metric","","C1525","CL05B104KO5NNNC","Samsung Electro-Mechanics",""
"1u","C7,C1,C5","Capacitor_SMD:C_0603_1608Metric","","C15849","CL10A105KB8NNNC","Samsung Electro-Mechanics",""
"green","D1","LED_SMD:LED_0603_1608Metric","","C72043","19-217/GHC-YR1S2/3T","Everlight Elec",""
"USB_C_Receptacle_USB2.0","J1","footprints:USB-C_16Pin",""
"Tag-Connect","J2","Connector:Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical","","","","","DNP"
"Conn_01x02","J3","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Conn_01x03","J4","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Clip","J5","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical",""
"5k1","R1,R2","Resistor_SMD:R_0402_1005Metric","","C25905","0402WGF5101TCE","Uniroyal Elec",""
"220R","R3","Resistor_SMD:R_0402_1005Metric","","C25091","0402WGF2200TCE","Uniroyal Elec",""
"1k5","R6","Resistor_SMD:R_0402_1005Metric","","C25867","0402WGF1501TCE","Uniroyal Elec",""
"1k","R7,R8","Resistor_SMD:R_0402_1005Metric","","C11702","0402WGF1001TCE","Uniroyal Elec",""
"33R","R9,R10,R4,R5","Resistor_SMD:R_0402_1005Metric","","C25105","0402WGF330JTCE","Uniroyal Elec",""
"TestPoint","TP3,TP2,TP1","TestPoint:TestPoint_Pad_D1.5mm","","","","","DNP"
"XC6206","U1","Package_TO_SOT_SMD:SOT-23","","C5446","XC6206P332MR","Torex Semicon",""
"SRV05-4-P-T7","U2","Package_TO_SOT_SMD:SOT-23-6","","C85364","SRV05-4-P-T7","ProTek Devices",""
"STM32F103C8T6","U4","Package_QFP:LQFP-48_7x7mm_P0.5mm","","C8734","STM32F103C8T6","STMicroelectronics",""
"SN74LVC1T45DBV","U5,U7,U8,U6","Package_TO_SOT_SMD:SOT-23-6","","C7843","SN74LVC1T45DBVR","Texas Instruments",""
"8MHz","Y1","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm","","C115962","X50328MSB2GI","Yangxing Tech",""
