Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1u","C_0603_1608Metric",7.700000,-8.750000,0.000000,top
"C2","10u","C_0805_2012Metric",10.450000,-6.250000,270.000000,top
"C3","20p","C_0402_1005Metric",26.600000,-16.900000,90.000000,top
"C4","100n","C_0402_1005Metric",23.200000,-12.200000,0.000000,top
"C5","1u","C_0603_1608Metric",29.600000,-5.100000,180.000000,top
"C6","20p","C_0402_1005Metric",26.600000,-14.900000,270.000000,top
"C7","1u","C_0603_1608Metric",21.500000,-17.400000,270.000000,top
"C8","100n","C_0402_1005Metric",23.200000,-11.200000,0.000000,top
"C9","100n","C_0402_1005Metric",12.600000,-16.700000,270.000000,top
"C10","100n","C_0402_1005Metric",19.500000,-18.250000,180.000000,top
"C11","100n","C_0402_1005Metric",23.200000,-5.800000,0.000000,top
"C12","100n","C_0402_1005Metric",12.000000,-4.100000,90.000000,top
"C13","100n","C_0402_1005Metric",14.800000,-6.800000,0.000000,top
"C14","100n","C_0402_1005Metric",25.100000,-5.800000,180.000000,top
"C15","100n","C_0402_1005Metric",12.000000,-2.200000,270.000000,top
"C16","100n","C_0402_1005Metric",21.550000,-4.100000,90.000000,top
"C17","100n","C_0402_1005Metric",16.800000,-4.100000,90.000000,top
"C18","100n","C_0402_1005Metric",21.550000,-2.200000,270.000000,top
"C19","100n","C_0402_1005Metric",16.800000,-2.200000,270.000000,top
"D1","green","LED_0603_1608Metric",18.500000,-19.750000,0.000000,top
"R1","5k1","R_0402_1005Metric",8.900000,-11.500000,180.000000,top
"R2","5k1","R_0402_1005Metric",8.900000,-10.500000,180.000000,top
"R3","220R","R_0402_1005Metric",17.500000,-18.250000,180.000000,top
"R4","33R","R_0402_1005Metric",26.670000,-7.291000,270.000000,top
"R5","33R","R_0402_1005Metric",26.670000,-9.831000,270.000000,top
"R6","1k5","R_0402_1005Metric",10.200000,-16.700000,0.000000,top
"R7","1k","R_0402_1005Metric",34.036000,-9.831000,270.000000,top
"R8","1k","R_0402_1005Metric",26.670000,-12.371000,270.000000,top
"R9","33R","R_0402_1005Metric",34.036000,-12.371000,270.000000,top
"R10","33R","R_0402_1005Metric",34.036000,-14.911000,270.000000,top
"U1","XC6206","SOT-23",7.700000,-6.250000,180.000000,top
"U2","SRV05-4-P-T7","SOT-23-6",9.750000,-14.000000,270.000000,top
"U4","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",17.000000,-12.500000,180.000000,top
"U5","SN74LVC1T45DBV","SOT-23-6",24.150000,-8.100000,0.000000,top
"U6","SN74LVC1T45DBV","SOT-23-6",14.300000,-3.150000,90.000000,top
"U7","SN74LVC1T45DBV","SOT-23-6",23.850000,-3.150000,90.000000,top
"U8","SN74LVC1T45DBV","SOT-23-6",19.100000,-3.150000,90.000000,top
"Y1","8MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",24.150000,-15.900000,270.000000,top
